"review_id","order_id","review_score","review_comment_title","review_comment_message","review_creation_date","review_answer_timestamp"
"7bc2406110b926393aa56f80a40eba40","73fc7af87114b39712e6da79b0a377eb",4,null,null,"2018-01-18 00:00:00","2018-01-18 21:46:59"
"80e641a11e56f04c1ad469d5645fdfde","a548910a1c6147796b98fdf73dbeba33",5,null,null,"2018-03-10 00:00:00","2018-03-11 03:05:13"
"228ce5500dc1d8e020d8d1322874b6f0","f9e4b658b201a9f2ecdecbb34bed034b",5,null,null,"2018-02-17 00:00:00","2018-02-18 14:36:24"
"e64fb393e7b32834bb789ff8bb30750e","658677c97b385a9be170737859d3511b",5,null,"Recebi bem antes do prazo estipulado.","2017-04-21 00:00:00","2017-04-21 22:02:06"
"f7c4243c7fe1938f181bec41a392bdeb","8e6bfb81e283fa7e4f11123a3fb894f1",5,null,"Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa","2018-03-01 00:00:00","2018-03-02 10:26:53"
"15197aa66ff4d0650b5434f1b46cda19","b18dcdf73be66366873cd26c5724d1dc",1,null,null,"2018-04-13 00:00:00","2018-04-16 00:39:37"
"07f9bee5d1b850860defd761afa7ff16","e48aa0d2dcec3a2e87348811bcfdf22b",5,null,null,"2017-07-16 00:00:00","2017-07-18 19:30:34"
"7c6400515c67679fbee952a7525281ef","c31a859e34e3adac22f376954e19b39d",5,null,null,"2018-08-14 00:00:00","2018-08-14 21:36:06"
"a3f6f7f6f433de0aefbb97da197c554c","9c214ac970e84273583ab523dfafd09b",5,null,null,"2017-05-17 00:00:00","2017-05-18 12:05:37"
"8670d52e15e00043ae7de4c01cc2fe06","b9bf720beb4ab3728760088589c62129",4,"recomendo","aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho","2018-05-22 00:00:00","2018-05-23 16:45:47"
"c9cfd2d5ab5911836ababae136c3a10c","cdf9aa68e72324eeb25c7de974696ee2",5,null,null,"2017-12-23 00:00:00","2017-12-26 14:36:03"
"96052551d87e5f62e6c9f6974ec392e9","3d374c9e46530bb5ed4a7648915306a6",5,null,null,"2017-12-19 00:00:00","2017-12-20 10:25:22"
"4b49719c8a200003f700d3d986ea1a19","9d6f15f95d01e79bd1349cc208361f09",4,null,"""Mas um pouco ,travando...pelo valor ta Boa.\r\n""","2018-02-16 00:00:00","2018-02-20 10:52:22"
"23f75a37effc35d9a915b4e1ad483793","2eaf8e099d871cd5c22b83b5ea8f6e0e",4,null,null,"2018-03-28 00:00:00","2018-03-30 15:10:55"
"9a0abbb668bafb95a6d2b05db43284c4","d7bd0e4afdf94846eb73642b4e3e75c3",3,null,null,"2017-04-30 00:00:00","2017-05-03 00:02:22"
"3948b09f7c818e2d86c9a546758b2335","e51478e7e277a83743b6f9991dbfa3fb",5,"Super recomendo","""Vendedor confiável, produto ok e entrega antes do prazo.""","2018-05-23 00:00:00","2018-05-24 03:00:01"
"9314d6f9799f5bfba510cc7bcd468c01","0dacf04c5ad59fd5a0cc1faa07c34e39",2,null,"""GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU""","2018-01-18 00:00:00","2018-01-20 21:25:45"
"8e15a274d95600fa14f8be64e37a0e67","ff1581e08b3011021e7c7de592ddc81e",5,null,null,"2018-03-24 00:00:00","2018-03-26 15:58:32"
"fdbdb2629a7cde0f66657acc92084e7f","70a752414a13d09cc1f2b437b914b28e",3,null,null,"2017-09-29 00:00:00","2017-10-02 01:12:49"
"373cbeecea8286a2b66c97b1b157ec46","583174fbe37d3d5f0d6661be3aad1786",1,"Não chegou meu produto ","Péssimo","2018-08-15 00:00:00","2018-08-15 04:10:37"
"a2ff510ca4e059c3fefc7a7866571f6f","a9953b2f0b1665ac7586cc5a6ac8f58c",4,null,null,"2017-10-06 00:00:00","2017-10-08 22:36:05"
"80c70bc263881ba6525f6cee1d94ac87","ae168dfba236919411fe08f336fefa44",5,null,null,"2018-03-17 00:00:00","2018-04-04 19:41:11"
"d21bbc789670eab777d27372ab9094cc","4fc44d78867142c627497b60a7e0228a",5,"Ótimo","Loja nota 10","2018-07-10 00:00:00","2018-07-11 14:10:25"
"7bcb3c758c67f23638262c731493e848","7c9956750739a47dba7a6928ba2f0245",5,null,null,"2017-09-09 00:00:00","2017-10-17 02:25:47"
"0e0190b9db53b689b285d3f3916f8441","79832b7cb59ac6f887088ffd686e1d5e",5,null,"obrigado pela atençao amim dispensada","2017-12-01 00:00:00","2017-12-09 22:58:58"
"66e4430c5bc6b7e3773886bf1c14d912","84cec4f65c7a4f2f54c294a30224a594",5,null,null,"2017-06-23 00:00:00","2017-06-27 00:52:02"
"bf566b3910c328733baf7fca7d2be041","a59a15e4b6085c752d338431dc68d464",4,null,null,"2017-11-01 00:00:00","2017-11-01 20:25:30"
"fe3db7c069d694bab50cc43463f91608","2ca73e2ff9e3a186ad1e1ffb9b1d9c10",5,null,"""A compra foi realizada facilmente.\r\nA entrega foi efetuada muito antes do prazo dado.\r\nO produto já começou a ser usado e até o presente,\r\nsem problemas.""","2018-03-23 00:00:00","2018-04-01 00:27:51"
"e07eee7ad7666276bd8b27fbd83fd1ff","68b3cbc68e4cd1fe19bec35f1d3bb7ee",5,null,"relógio muito bonito e barato.","2018-03-29 00:00:00","2018-04-02 14:19:31"
"2c5e27fc178bde7ac173c9c62c31b070","0ce9a24111d850192a933fcaab6fbad3",1,null,"Não gostei ! Comprei gato por lebre","2017-12-13 00:00:00","2017-12-16 07:14:07"
"540e7bbb2d06cfb7f85f3a88ba7ac97f","cf73e2cb1f4a9480ed70c154da3d954a",5,null,null,"2018-01-18 00:00:00","2018-01-18 19:12:30"
"6a18a4001ae7fd911b3b9fb13686d105","8ba3f3a9292fbc22a8b7dff752bbcd37",5,null,null,"2017-07-19 00:00:00","2017-07-20 10:38:48"
"58044bca115705a48fe0e00a21390c54","68e55ca79d04a79f20d4bfc0146f4b66",1,null,"""Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.""","2018-04-08 00:00:00","2018-04-09 12:22:39"
"19a52a2297e5289ab4187d238d335982","677c865b89aa97e7dbeb4bfbb50bbcfd",5,null,null,"2018-08-25 00:00:00","2018-08-26 22:02:59"
"c92cdd7dd544a01aa35137f901669cdf","37e7875cdce5a9e5b3a692971f370151",4,"Muito bom.","""Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.""","2018-06-07 00:00:00","2018-06-09 18:44:02"
"c0f4c8301f8c29d6f53d239e194bb4c2","04db86e3493b3724ac4bd3c9a397e23c",5,null,null,"2017-09-12 00:00:00","2017-09-13 14:33:49"
"08c9d79ec0eba1d252e3f52f14b8e6a9","e029f708df3cc108b3264558771605c6",5,"Bom","""Recomendo ,""","2018-06-13 00:00:00","2018-06-13 22:54:44"
"2170c9452c2216457b36003fe2969fbb","af32671d0b8ce510a94d9111d97371d3",5,null,"muito boa ","2018-03-22 00:00:00","2018-03-30 23:37:25"
"b193ff3c9f32a01f3a0d9ae26b94d244","e2e6ee1ed2d7f2f36b05d234983bd7a0",5,"Maravilhoso!","""Tô completamente apaixonada, loja super responsável e confiável!""","2018-08-10 00:00:00","2018-08-11 00:22:13"
"9fd59cd04b42f600df9f25e54082a8d1","3c314f50bc654f3c4e317b055681dff9",1,null,"Nada de chegar o meu pedido.","2017-04-21 00:00:00","2017-04-23 05:37:03"
"ab3056e4fb5a36df4b58c1746e4a6b8f","aad1dcbe4c9fe2e3486e5e04c6649097",2,null,null,"2018-05-13 00:00:00","2018-05-14 16:29:15"
"eb26c2bfb5030f57dcef30d3f111eb1e","88096595631e8d26b658306256e3ce34",1,null,null,"2018-02-08 00:00:00","2018-02-10 04:28:43"
