"order_id","order_item_id","product_id","seller_id","shipping_limit_date","price","freight_value"
"00010242fe8c5a6d1ba2dd792cb16214",1,"4244733e06e7ecb4970a6e2683c13e61","48436dade18ac8b2bce089ec2a041202","2017-09-19 09:45:35",58.9,13.29
"00018f77f2f0320c557190d7a144bdd3",1,"e5f2d52b802189ee658865ca93d83a8f","dd7ddc04e1b6c2c614352b383efe2d36","2017-05-03 11:05:13",239.9,19.93
"000229ec398224ef6ca0657da4fc703e",1,"c777355d18b72b67abbeef9df44fd0fd","5b51032eddd242adc84c38acab88f23d","2018-01-18 14:48:30",199,17.87
"00024acbcdf0a6daa1e931b038114c75",1,"7634da152a4610f1595efa32f14722fc","9d7a1d34a5052409006425275ba1c2b4","2018-08-15 10:10:18",12.99,12.79
"00042b26cf59d7ce69dfabb4e55b4fd9",1,"ac6c3623068f30de03045865e4e10089","df560393f3a51e74553ab94004ba5c87","2017-02-13 13:57:51",199.9,18.14
"00048cc3ae777c65dbb7d2a0634bc1ea",1,"ef92defde845ab8450f9d70c526ef70f","6426d21aca402a131fc0a5d0960a3c90","2017-05-23 03:55:27",21.9,12.69
"00054e8431b9d7675808bcb819fb4a32",1,"8d4f2bb7e93e6710a28f34fa83ee7d28","7040e82f899a04d1b434b795a43b4617","2017-12-14 12:10:31",19.9,11.85
"000576fe39319847cbb9d288c5617fa6",1,"557d850972a7d6f792fd18ae1400d9b6","5996cddab893a4652a15592fb58ab8db","2018-07-10 12:30:45",810,70.75
"0005a1a1728c9d785b8e2b08b904576c",1,"310ae3c140ff94b03219ad0adc3c778f","a416b6a846a11724393025641d4edd5e","2018-03-26 18:31:29",145.95,11.65
"0005f50442cb953dcd1d21e1fb923495",1,"4535b0e1091c278dfd193e5a1d63b39f","ba143b05f0110f0dc71ad71b4466ce92","2018-07-06 14:10:56",53.99,11.4
"00061f2a7bc09da83e415a52dc8a4af1",1,"d63c1011f49d98b976c352955b1c4bea","cc419e0650a3c5ba77189a1882b7556a","2018-03-29 22:28:09",59.99,8.88
"00063b381e2406b52ad429470734ebd5",1,"f177554ea93259a5b282f24e33f65ab6","8602a61d680a10a82cceeeda0d99ea3d","2018-07-31 17:30:39",45,12.98
"0006ec9db01a64e59a68b2c340bf65a7",1,"99a4788cb24856965c36a24e339b6058","4a3ca9315b744ce9f8e9374361493884","2018-07-26 17:24:20",74,23.32
"0008288aa423d2a3f00fcb17cd7d8719",1,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100","2018-02-21 02:55:52",49.9,13.37
"0008288aa423d2a3f00fcb17cd7d8719",2,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100","2018-02-21 02:55:52",49.9,13.37
"0009792311464db532ff765bf7b182ae",1,"8cab8abac59158715e0d70a36c807415","530ec6109d11eaaf87999465c6afee01","2018-08-17 12:15:10",99.9,27.65
"0009c9a17f916a706d71784483a5d643",1,"3f27ac8e699df3d300ec4a5d8c5cf0b2","fcb5ace8bcc92f75707dc0f01a27d269","2018-05-02 09:31:53",639,11.34
"000aed2e25dbad2f9ddb70584c5a2ded",1,"4fa33915031a8cde03dd0d3e8fb27f01","fe2032dab1a61af8794248c8196565c9","2018-05-16 20:57:03",144,8.77
"000c3e6612759851cc3cbb4b83257986",1,"b50c950aba0dcead2c48032a690ce817","218d46b86c1881d022bce9c68a7d4b15","2017-08-21 03:33:13",99,13.71
"000e562887b1f2006d75e0be9558292e",1,"5ed9eaf534f6936b51d0b6c5e4d5c2e9","8cbac7e12637ed9cffa18c7875207478","2018-02-28 12:08:37",25,16.11
